alacritty 0.17.0-1
amd-ucode 20260622-1
base 3-3
bat 0.26.1-2
bluez-utils 5.87-2
cliphist 1:0.7.0-2
cmatrix 2.0-4
dunst 1.13.2-1
fastfetch 2.66.0-1
feh 3.12.2-1
firefox 152.0.5-1
firejail 0.9.80-1
glow 2.1.2-1
grub 2:2.14-1
gsimplecal 2.5.2-1
htop 3.5.1-1
hyprland 0.55.4-1
hyprpaper 0.8.4-3
hyprshot 1.3.0-4
intellij-idea-community-edition 4:2026.1.3-3
kolourpaint 26.04.3-1
linux-zen 7.1.3.zen1-2
lsd 1.2.0-2
maven 3.9.16-1
nano 9.1-1
network-manager-applet 1.36.0-2
network-manager-sstp 1.3.2-5
networkmanager-dmenu 2.6.3-1
networkmanager-docs 1.56.1-1
networkmanager-l2tp 1.52.2-1
networkmanager-openconnect 1.2.10-4
networkmanager-openvpn 1.12.5-1
networkmanager-pptp 1.2.12-7
networkmanager-qt 6.27.0-1
networkmanager-strongswan 1.6.4-1
networkmanager-vpnc 1.4.0-2
pacman-contrib 1.13.1-1
papirus-icon-theme 20250501-1
pavucontrol 1:6.2-1
polkit-kde-agent 6.7.2-1
postgresql 18.4-1
reflector 2023-5
ripgrep 15.1.0-4
rust 1:1.97.0-1
swaync 0.12.6-1
thunar 4.20.8-3
thunderbird 152.0-1
tree 2.3.2-1
ttf-jetbrains-mono-nerd 3.4.0-2
ufw 0.36.2-7
unrar 1:7.2.7-1
unzip 6.0-23
usbutils 019-1
virt-manager 5.1.0-3
virt-viewer 11.0-4
waybar 0.15.0-2
wget 1.25.0-5
wireless_tools 30.pre9-5
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-3
xorg-server 21.1.24-1
xorg-xinit 1.4.4-1
zip 3.0-13
zram-generator 1.2.1-1
